track_id,start_frame,end_frame,num_points,detected_points,mean_confidence,start_time,end_time,duration_s,detected_ratio
59,142,143,2,2,0.5716783255338669,2026-06-01 00:00:04.700000000,2026-06-01 00:00:04.733333333,0.03333333333333333,1.0
58,142,143,2,2,0.6075148731470108,2026-06-01 00:00:04.700000000,2026-06-01 00:00:04.733333333,0.03333333333333333,1.0
166,715,716,2,2,0.5765625834465027,2026-06-01 00:00:23.800000000,2026-06-01 00:00:23.833333333,0.03333333333333333,1.0
119,391,392,2,2,0.6190666556358337,2026-06-01 00:00:13.000000000,2026-06-01 00:00:13.033333333,0.03333333333333333,1.0
82,230,231,2,2,0.3265525549650192,2026-06-01 00:00:07.633333333,2026-06-01 00:00:07.666666667,0.03333333333333333,1.0
76,207,208,2,2,0.5441562384366989,2026-06-01 00:00:06.866666667,2026-06-01 00:00:06.900000000,0.03333333333333333,1.0
95,250,251,2,2,0.555673748254776,2026-06-01 00:00:08.300000000,2026-06-01 00:00:08.333333333,0.03333333333333333,1.0
96,253,254,2,2,0.587969571352005,2026-06-01 00:00:08.400000000,2026-06-01 00:00:08.433333333,0.03333333333333333,1.0
17,9,9,1,1,0.6929277777671814,2026-06-01 00:00:00.266666667,2026-06-01 00:00:00.266666667,0.0,1.0
20,35,35,1,1,0.5731469988822937,2026-06-01 00:00:01.133333333,2026-06-01 00:00:01.133333333,0.0,1.0
21,35,35,1,1,0.3361720740795135,2026-06-01 00:00:01.133333333,2026-06-01 00:00:01.133333333,0.0,1.0
56,137,137,1,1,0.6290869116783142,2026-06-01 00:00:04.533333332,2026-06-01 00:00:04.533333332,0.0,1.0
53,131,131,1,1,0.2805856764316559,2026-06-01 00:00:04.333333333,2026-06-01 00:00:04.333333333,0.0,1.0
44,106,106,1,1,0.320290595293045,2026-06-01 00:00:03.500000000,2026-06-01 00:00:03.500000000,0.0,1.0
46,111,111,1,1,0.6305558681488037,2026-06-01 00:00:03.666666667,2026-06-01 00:00:03.666666667,0.0,1.0
48,117,117,1,1,0.3336268067359924,2026-06-01 00:00:03.866666667,2026-06-01 00:00:03.866666667,0.0,1.0
49,120,120,1,1,0.2678285539150238,2026-06-01 00:00:03.966666667,2026-06-01 00:00:03.966666667,0.0,1.0
50,121,121,1,1,0.4661261737346649,2026-06-01 00:00:04.000000000,2026-06-01 00:00:04.000000000,0.0,1.0
51,125,125,1,1,0.3687925338745117,2026-06-01 00:00:04.133333333,2026-06-01 00:00:04.133333333,0.0,1.0
33,54,54,1,1,0.8702534437179565,2026-06-01 00:00:01.766666667,2026-06-01 00:00:01.766666667,0.0,1.0
30,49,49,1,1,0.4019493758678436,2026-06-01 00:00:01.600000000,2026-06-01 00:00:01.600000000,0.0,1.0
38,78,78,1,1,0.6110314130783081,2026-06-01 00:00:02.566666667,2026-06-01 00:00:02.566666667,0.0,1.0
36,60,60,1,1,0.7282631993293762,2026-06-01 00:00:01.966666667,2026-06-01 00:00:01.966666667,0.0,1.0
39,78,78,1,1,0.2935636639595032,2026-06-01 00:00:02.566666667,2026-06-01 00:00:02.566666667,0.0,1.0
41,102,102,1,1,0.8317754864692688,2026-06-01 00:00:03.366666667,2026-06-01 00:00:03.366666667,0.0,1.0
42,106,106,1,1,0.8538938760757446,2026-06-01 00:00:03.500000000,2026-06-01 00:00:03.500000000,0.0,1.0
43,106,106,1,1,0.8222808241844177,2026-06-01 00:00:03.500000000,2026-06-01 00:00:03.500000000,0.0,1.0
19,31,31,1,1,0.6914621591567993,2026-06-01 00:00:01.000000000,2026-06-01 00:00:01.000000000,0.0,1.0
79,219,219,1,1,0.6797399520874023,2026-06-01 00:00:07.266666667,2026-06-01 00:00:07.266666667,0.0,1.0
84,232,232,1,1,0.6924504637718201,2026-06-01 00:00:07.700000000,2026-06-01 00:00:07.700000000,0.0,1.0
67,172,172,1,1,0.8501062393188477,2026-06-01 00:00:05.700000000,2026-06-01 00:00:05.700000000,0.0,1.0
70,183,183,1,1,0.7073551416397095,2026-06-01 00:00:06.066666667,2026-06-01 00:00:06.066666667,0.0,1.0
60,144,144,1,1,0.3881468176841736,2026-06-01 00:00:04.766666667,2026-06-01 00:00:04.766666667,0.0,1.0
65,169,169,1,1,0.3004563450813293,2026-06-01 00:00:05.600000000,2026-06-01 00:00:05.600000000,0.0,1.0
77,212,212,1,1,0.2606644928455353,2026-06-01 00:00:07.033333333,2026-06-01 00:00:07.033333333,0.0,1.0
83,232,232,1,1,0.3052012324333191,2026-06-01 00:00:07.700000000,2026-06-01 00:00:07.700000000,0.0,1.0
101,258,258,1,1,0.3657123744487762,2026-06-01 00:00:08.566666667,2026-06-01 00:00:08.566666667,0.0,1.0
94,250,250,1,1,0.3590649366378784,2026-06-01 00:00:08.300000000,2026-06-01 00:00:08.300000000,0.0,1.0
85,234,234,1,1,0.755561888217926,2026-06-01 00:00:07.766666667,2026-06-01 00:00:07.766666667,0.0,1.0
87,238,238,1,1,0.8293272852897644,2026-06-01 00:00:07.900000000,2026-06-01 00:00:07.900000000,0.0,1.0
86,234,234,1,1,0.4401414394378662,2026-06-01 00:00:07.766666667,2026-06-01 00:00:07.766666667,0.0,1.0
88,239,239,1,1,0.4148397743701935,2026-06-01 00:00:07.933333333,2026-06-01 00:00:07.933333333,0.0,1.0
91,241,241,1,1,0.289225697517395,2026-06-01 00:00:08.000000000,2026-06-01 00:00:08.000000000,0.0,1.0
123,445,445,1,1,0.7577943801879883,2026-06-01 00:00:14.800000000,2026-06-01 00:00:14.800000000,0.0,1.0
122,443,443,1,1,0.8719028830528259,2026-06-01 00:00:14.733333333,2026-06-01 00:00:14.733333333,0.0,1.0
121,441,441,1,1,0.8834588527679443,2026-06-01 00:00:14.666666667,2026-06-01 00:00:14.666666667,0.0,1.0
116,388,388,1,1,0.6136873960494995,2026-06-01 00:00:12.900000000,2026-06-01 00:00:12.900000000,0.0,1.0
112,382,382,1,1,0.8484254479408264,2026-06-01 00:00:12.700000000,2026-06-01 00:00:12.700000000,0.0,1.0
114,387,387,1,1,0.2625316977500915,2026-06-01 00:00:12.866666667,2026-06-01 00:00:12.866666667,0.0,1.0
105,269,269,1,1,0.7524817585945129,2026-06-01 00:00:08.933333333,2026-06-01 00:00:08.933333333,0.0,1.0
104,268,268,1,1,0.4290511906147003,2026-06-01 00:00:08.900000000,2026-06-01 00:00:08.900000000,0.0,1.0
92,246,246,1,1,0.3401417732238769,2026-06-01 00:00:08.166666667,2026-06-01 00:00:08.166666667,0.0,1.0
140,640,640,1,1,0.2672871351242065,2026-06-01 00:00:21.300000000,2026-06-01 00:00:21.300000000,0.0,1.0
134,586,586,1,1,0.282560259103775,2026-06-01 00:00:19.500000000,2026-06-01 00:00:19.500000000,0.0,1.0
136,612,612,1,1,0.8417229056358337,2026-06-01 00:00:20.366666667,2026-06-01 00:00:20.366666667,0.0,1.0
131,576,576,1,1,0.8346465826034546,2026-06-01 00:00:19.166666667,2026-06-01 00:00:19.166666667,0.0,1.0
133,585,585,1,1,0.6171135902404785,2026-06-01 00:00:19.466666667,2026-06-01 00:00:19.466666667,0.0,1.0
146,675,675,1,1,0.5064655542373657,2026-06-01 00:00:22.466666667,2026-06-01 00:00:22.466666667,0.0,1.0
147,675,675,1,1,0.8965398669242859,2026-06-01 00:00:22.466666667,2026-06-01 00:00:22.466666667,0.0,1.0
155,695,695,1,1,0.3058469295501709,2026-06-01 00:00:23.133333333,2026-06-01 00:00:23.133333333,0.0,1.0
152,681,681,1,1,0.697798490524292,2026-06-01 00:00:22.666666667,2026-06-01 00:00:22.666666667,0.0,1.0
149,677,677,1,1,0.7861952781677246,2026-06-01 00:00:22.533333332,2026-06-01 00:00:22.533333332,0.0,1.0
150,678,678,1,1,0.7847175598144531,2026-06-01 00:00:22.566666667,2026-06-01 00:00:22.566666667,0.0,1.0
